Flight No.,Launch site,Payload,Payload mass,Orbit,Customer,Launch outcome,Version Booster,Booster landing,Date,Time
"[<td>16 March 2017,<br/>06:00
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1030.1<sup class=""reference"" id=""cite_ref-171""><a href=""#cite_note-171"">[163]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/EchoStar_23"" title=""EchoStar 23"">EchoStar 23</a>
</td>, <td>5,600 kg (12,300 lb)<sup class=""reference"" id=""cite_ref-172""><a href=""#cite_note-172"">[164]</a></sup>
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt<br/><sup class=""reference"" id=""cite_ref-expendable_173-0""><a href=""#cite_note-expendable-173"">[165]</a></sup>
</td>]",KSC,EchoStar 23,"5,600 kg",GTO,EchoStar,"Success
",,No attempt,16 March 2017,06:00
"[<td>30 March 2017,<br/>22:27
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a> <abbr title=""Flight proven booster"">♺</abbr><br/><a href=""/wiki/List_of_Falcon_9_first-stage_boosters"" title=""List of Falcon 9 first-stage boosters"">B1021.2</a><sup class=""reference"" id=""cite_ref-nsf-20170330_122-2""><a href=""#cite_note-nsf-20170330-122"">[115]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/SES-10"" title=""SES-10"">SES-10</a><sup class=""reference"" id=""cite_ref-spacenews20140410_116-1""><a href=""#cite_note-spacenews20140410-116"">[109]</a></sup><sup class=""reference"" id=""cite_ref-ses-date-sfn_176-0""><a href=""#cite_note-ses-date-sfn-176"">[168]</a></sup>
</td>, <td>5,300 kg (11,700 lb)<sup class=""reference"" id=""cite_ref-airbusds-pr20140220_177-0""><a href=""#cite_note-airbusds-pr20140220-177"">[169]</a></sup>
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-thevergeflight32_178-0""><a href=""#cite_note-thevergeflight32-178"">[170]</a></sup>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",KSC,SES-10,"5,300 kg",GTO,SES,Success,,Success,30 March 2017,22:27
"[<td>1 May 2017,<br/>11:15
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1032.1<sup class=""reference"" id=""cite_ref-nsf-20170425_136-2""><a href=""#cite_note-nsf-20170425-136"">[129]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/List_of_NRO_launches"" title=""List of NRO launches"">NROL-76</a><sup class=""reference"" id=""cite_ref-nrol-76_182-0""><a href=""#cite_note-nrol-76-182"">[174]</a></sup>
</td>, <td class=""table-na"" data-sort-value="""" style=""background: #ececec; color: #2C2C2C; vertical-align: middle; text-align: center;"">Classified
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a><sup class=""reference"" id=""cite_ref-183""><a href=""#cite_note-183"">[175]</a></sup>
</td>, <td><a href=""/wiki/National_Reconnaissance_Office"" title=""National Reconnaissance Office"">NRO</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(ground pad)</small>
</td>]",KSC,NROL-76,C,LEO,NRO,"Success
",,Success,1 May 2017,11:15
"[<td>15 May 2017,<br/>23:21
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1034.1<sup class=""reference"" id=""cite_ref-187""><a href=""#cite_note-187"">[179]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat-5 F4</a><sup class=""reference"" id=""cite_ref-spacenews20140702_188-0""><a href=""#cite_note-spacenews20140702-188"">[180]</a></sup>
</td>, <td>6,070 kg (13,380 lb)<sup class=""reference"" id=""cite_ref-gunter-inmarsat5_189-0""><a href=""#cite_note-gunter-inmarsat5-189"">[181]</a></sup>
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/Inmarsat"" title=""Inmarsat"">Inmarsat</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt<br/><sup class=""reference"" id=""cite_ref-expendable_173-1""><a href=""#cite_note-expendable-173"">[165]</a></sup>
</td>]",KSC,Inmarsat-5 F4,"6,070 kg",GTO,Inmarsat,"Success
",,No attempt,15 May 2017,23:21
"[<td>3 June 2017,<br/>21:07
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1035.1<sup class=""reference"" id=""cite_ref-nsf-20170528_193-0""><a href=""#cite_note-nsf-20170528-193"">[185]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/SpaceX_CRS-11"" title=""SpaceX CRS-11"">SpaceX CRS-11</a><sup class=""reference"" id=""cite_ref-spn-20160224_148-2""><a href=""#cite_note-spn-20160224-148"">[141]</a></sup><br/>(Dragon C106.2 ♺)
</td>, <td>2,708 kg (5,970 lb)<sup class=""reference"" id=""cite_ref-194""><a href=""#cite_note-194"">[186]</a></sup>
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(ground pad)</small>
</td>]",KSC,SpaceX CRS-11,"2,708 kg",LEO,NASA,"Success
",,Success,3 June 2017,21:07
"[<td>23 June 2017,<br/>19:10
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a> ♺ <br/><a href=""/wiki/List_of_Falcon_9_first-stage_boosters"" title=""List of Falcon 9 first-stage boosters"">B1029.2</a><sup class=""reference"" id=""cite_ref-sfn-20170505_203-0""><a href=""#cite_note-sfn-20170505-203"">[195]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/BulgariaSat-1"" title=""BulgariaSat-1"">BulgariaSat-1</a><sup class=""reference"" id=""cite_ref-ssloral20140908_204-0""><a href=""#cite_note-ssloral20140908-204"">[196]</a></sup>
</td>, <td>3,669 kg (8,089 lb)<sup class=""reference"" id=""cite_ref-205""><a href=""#cite_note-205"">[197]</a></sup>
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/Bulsatcom"" title=""Bulsatcom"">Bulsatcom</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",KSC,BulgariaSat-1,"3,669 kg",GTO,Bulsatcom,"Success
",,Success,23 June 2017,19:10
"[<td>25 June 2017,<br/>20:25
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1036.1<sup class=""reference"" id=""cite_ref-nsf-20170624_206-0""><a href=""#cite_note-nsf-20170624-206"">[198]</a></sup>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-2<br/>(10 satellites)
</td>, <td>9,600 kg (21,200 lb)
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",KSC,Iridium NEXT,"9,600 kg",LEO,Iridium Communications,"Success
",,Success,25 June 2017,20:25
"[<td>5 July 2017,<br/>23:38
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1037.1<sup class=""reference"" id=""cite_ref-nsf-20170629_208-0""><a href=""#cite_note-nsf-20170629-208"">[200]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/Intelsat_35e"" title=""Intelsat 35e"">Intelsat 35e</a><sup class=""reference"" id=""cite_ref-sfn-20160830_209-0""><a href=""#cite_note-sfn-20160830-209"">[201]</a></sup>
</td>, <td>6,761 kg (14,905 lb)<sup class=""reference"" id=""cite_ref-210""><a href=""#cite_note-210"">[202]</a></sup>
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/Intelsat"" title=""Intelsat"">Intelsat</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-noAttempt"" style=""background: #EEE; vertical-align: middle; white-space: nowrap; text-align: center;"">No attempt<br/><sup class=""reference"" id=""cite_ref-expendable_173-2""><a href=""#cite_note-expendable-173"">[165]</a></sup>
</td>]",VAFB,Intelsat 35e,"6,761 kg",GTO,Intelsat,"Success
",,No attempt,5 July 2017,23:38
"[<td>14 August 2017,<br/>16:31
</td>, <td><a class=""mw-redirect"" href=""/wiki/Falcon_9_Block_4"" title=""Falcon 9 Block 4"">F9 B4</a><br/>B1039.1<sup class=""reference"" id=""cite_ref-nsf-20170814_215-0""><a href=""#cite_note-nsf-20170814-215"">[207]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/SpaceX_CRS-12"" title=""SpaceX CRS-12"">SpaceX CRS-12</a><sup class=""reference"" id=""cite_ref-spn-20160224_148-3""><a href=""#cite_note-spn-20160224-148"">[141]</a></sup><br/>(Dragon C113.1)
</td>, <td>3,310 kg (7,300 lb)
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(ground pad)</small>
</td>]",KSC,SpaceX CRS-12,"3,310 kg",LEO,NASA,"Success
",,Success,14 August 2017,16:31
"[<td>24 August 2017,<br/>18:51
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a><br/>B1038.1<sup class=""reference"" id=""cite_ref-nsf-20170819_217-0""><a href=""#cite_note-nsf-20170819-217"">[209]</a></sup>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>, <td><a href=""/wiki/Formosat-5"" title=""Formosat-5"">Formosat-5</a><sup class=""reference"" id=""cite_ref-eoportal-formosat5_218-0""><a href=""#cite_note-eoportal-formosat5-218"">[210]</a></sup><sup class=""reference"" id=""cite_ref-Formosat5_homepage_219-0""><a href=""#cite_note-Formosat5_homepage-219"">[211]</a></sup>
</td>, <td>475 kg (1,047 lb)<sup class=""reference"" id=""cite_ref-gunter-formosat5_220-0""><a href=""#cite_note-gunter-formosat5-220"">[212]</a></sup>
</td>, <td><a href=""/wiki/Sun-synchronous_orbit"" title=""Sun-synchronous orbit"">SSO</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/National_Space_Organization"" title=""National Space Organization"">NSPO</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",KSC,Formosat-5,475 kg,SSO,NSPO,"Success
",,Success,24 August 2017,18:51
"[<td>7 September 2017,<br/>14:00<sup class=""reference"" id=""cite_ref-223""><a href=""#cite_note-223"">[215]</a></sup>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Falcon_9_Block_4"" title=""Falcon 9 Block 4"">F9 B4</a><br/>B1040.1<sup class=""reference"" id=""cite_ref-skyrocket_1.2_115-4""><a href=""#cite_note-skyrocket_1.2-115"">[108]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/Boeing_X-37"" title=""Boeing X-37"">Boeing X-37B</a> <a href=""/wiki/USA-277"" title=""USA-277"">OTV-5</a>
</td>, <td>4,990 kg (11,000 lb)<sup class=""reference"" id=""cite_ref-224""><a href=""#cite_note-224"">[216]</a></sup><br/><small>+ OTV payload</small>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Low_Earth_Orbit"" title=""Low Earth Orbit"">LEO</a>
</td>, <td><a href=""/wiki/United_States_Air_Force"" title=""United States Air Force"">USAF</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(ground pad)</small>
</td>]",VAFB,Boeing X-37B,"4,990 kg",LEO,USAF,"Success
",,Success,7 September 2017,14:00
"[<td>9 October 2017,<br/>12:37
</td>, <td><a class=""mw-redirect"" href=""/wiki/Falcon_9_Block_4"" title=""Falcon 9 Block 4"">F9 B4</a><br/>B1041.1<sup class=""reference"" id=""cite_ref-nsf-20170925_227-0""><a href=""#cite_note-nsf-20170925-227"">[219]</a></sup>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-3<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-1""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>, <td>9,600 kg (21,200 lb)
</td>, <td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",KSC,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,"Success
",,Success,9 October 2017,12:37
"[<td>11 October 2017,<br/>22:53:00
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a> ♺ <br/>B1031.2<sup class=""reference"" id=""cite_ref-ses11-reuse_228-0""><a href=""#cite_note-ses11-reuse-228"">[220]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/List_of_SES_satellites"" title=""List of SES satellites"">SES-11</a> / <a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar 105</a>
</td>, <td>5,200 kg (11,500 lb)
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><link href=""mw-data:TemplateStyles:r1126788409"" rel=""mw-deduplicated-inline-style""/><div class=""plainlist"">
<ul><li><a href=""/wiki/SES_S.A."" title=""SES S.A."">SES S.A.</a></li>
<li><a href=""/wiki/EchoStar"" title=""EchoStar"">EchoStar</a></li></ul>
</div>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",VAFB,SES-11,"5,200 kg",GTO,SES S.A.,"Success
",,Success,11 October 2017,22:53:00
"[<td>30 October 2017,<br/>19:34
</td>, <td><a class=""mw-redirect"" href=""/wiki/Falcon_9_Block_4"" title=""Falcon 9 Block 4"">F9 B4</a><br/>B1042.1<sup class=""reference"" id=""cite_ref-nsf-20170925_227-2""><a href=""#cite_note-nsf-20170925-227"">[219]</a></sup>
</td>, <td><a href=""/wiki/Kennedy_Space_Center"" title=""Kennedy Space Center"">KSC</a>,<br/><a href=""/wiki/Kennedy_Space_Center_Launch_Complex_39A"" title=""Kennedy Space Center Launch Complex 39A"">LC-39A</a>
</td>, <td><a href=""/wiki/Koreasat_5A"" title=""Koreasat 5A"">Koreasat 5A</a><sup class=""reference"" id=""cite_ref-spacenews20140512_230-0""><a href=""#cite_note-spacenews20140512-230"">[222]</a></sup>
</td>, <td>3,500 kg (7,700 lb)
</td>, <td><a href=""/wiki/Geostationary_transfer_orbit"" title=""Geostationary transfer orbit"">GTO</a>
</td>, <td><a href=""/wiki/KT_Corporation"" title=""KT Corporation"">KT Corporation</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(drone ship)</small>
</td>]",KSC,Koreasat 5A,"3,500 kg",GTO,KT Corporation,"Success
",,Success,30 October 2017,19:34
"[<td>15 December 2017,<br/>15:36<sup class=""reference"" id=""cite_ref-234""><a href=""#cite_note-234"">[226]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a> ♺ <br/>B1035.2<sup class=""reference"" id=""cite_ref-nsf-20171111_235-0""><a href=""#cite_note-nsf-20171111-235"">[227]</a></sup>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">Cape Canaveral</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a>
</td>, <td><a href=""/wiki/SpaceX_CRS-13"" title=""SpaceX CRS-13"">SpaceX CRS-13</a><sup class=""reference"" id=""cite_ref-spn-20160224_148-4""><a href=""#cite_note-spn-20160224-148"">[141]</a></sup><br/>(Dragon C108.2 ♺)
</td>, <td>2,205 kg (4,861 lb)
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a> (<a class=""mw-redirect"" href=""/wiki/ISS"" title=""ISS"">ISS</a>)
</td>, <td><a href=""/wiki/NASA"" title=""NASA"">NASA</a> (<a href=""/wiki/Commercial_Resupply_Services"" title=""Commercial Resupply Services"">CRS</a>)
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(ground pad)</small>
</td>]",KSC,SpaceX CRS-13,"2,205 kg",LEO,NASA,"Success
",,Success,15 December 2017,15:36
"[<td>23 December 2017,<br/>01:27<sup class=""reference"" id=""cite_ref-sfn_iridium4_237-0""><a href=""#cite_note-sfn_iridium4-237"">[229]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 FT</a> ♺ <br/>B1036.2<sup class=""reference"" id=""cite_ref-nsf-20171111_235-2""><a href=""#cite_note-nsf-20171111-235"">[227]</a></sup>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Vandenberg_Air_Force_Base"" title=""Vandenberg Air Force Base"">VAFB</a>,<br/><a href=""/wiki/Vandenberg_Space_Launch_Complex_4"" title=""Vandenberg Space Launch Complex 4"">SLC-4E</a>
</td>, <td><a class=""mw-redirect"" href=""/wiki/Iridium_NEXT"" title=""Iridium NEXT"">Iridium NEXT</a>-4<br/>(10 satellites)<sup class=""reference"" id=""cite_ref-sdc20100616_160-2""><a href=""#cite_note-sdc20100616-160"">[152]</a></sup>
</td>, <td>9,600 kg (21,200 lb)
</td>, <td><a href=""/wiki/Polar_orbit"" title=""Polar orbit"">Polar</a> <a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/Iridium_Communications"" title=""Iridium Communications"">Iridium Communications</a>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-Iridium_NEXT-4_SN_238-0""><a href=""#cite_note-Iridium_NEXT-4_SN-238"">[230]</a></sup>
</td>, <td class=""partial table-partial"" style=""background: #BFE; vertical-align: middle; text-align: center;"">Controlled<br/><small>(ocean)</small><sup class=""reference"" id=""cite_ref-ocean_landing_38-5""><a href=""#cite_note-ocean_landing-38"">[d]</a></sup><sup class=""reference"" id=""cite_ref-Iridium_NEXT-4_SN_238-1""><a href=""#cite_note-Iridium_NEXT-4_SN-238"">[230]</a></sup>
</td>]",Cape Canaveral,Iridium NEXT,"9,600 kg",Polar,Iridium Communications,Success,,Controlled,23 December 2017,01:27
"[<td>8 January 2018,<br/>01:00<sup class=""reference"" id=""cite_ref-245""><a href=""#cite_note-245"">[237]</a></sup>
</td>, <td><a href=""/wiki/Falcon_9_Full_Thrust"" title=""Falcon 9 Full Thrust"">F9 B4</a><br/>B1043.1<sup class=""reference"" id=""cite_ref-zuma_246-0""><a href=""#cite_note-zuma-246"">[238]</a></sup>
</td>, <td><a href=""/wiki/Cape_Canaveral_Space_Force_Station"" title=""Cape Canaveral Space Force Station"">CCAFS</a>,<br/><a href=""/wiki/Cape_Canaveral_Space_Launch_Complex_40"" title=""Cape Canaveral Space Launch Complex 40"">SLC-40</a><br/>
</td>, <td><a href=""/wiki/Zuma_(satellite)"" title=""Zuma (satellite)"">Zuma</a><sup class=""reference"" id=""cite_ref-zuma_246-1""><a href=""#cite_note-zuma-246"">[238]</a></sup><sup class=""reference"" id=""cite_ref-247""><a href=""#cite_note-247"">[239]</a></sup><sup class=""reference"" id=""cite_ref-248""><a href=""#cite_note-248"">[240]</a></sup>
</td>, <td class=""table-na"" data-sort-value="""" style=""background: #ececec; color: #2C2C2C; vertical-align: middle; text-align: center;"">Classified
</td>, <td><a href=""/wiki/Low_Earth_orbit"" title=""Low Earth orbit"">LEO</a>
</td>, <td><a href=""/wiki/Northrop_Grumman"" title=""Northrop Grumman"">Northrop Grumman</a> <sup class=""reference"" id=""cite_ref-249""><a href=""#cite_note-249"">[f]</a></sup><sup class=""reference"" id=""cite_ref-zuma_246-2""><a href=""#cite_note-zuma-246"">[238]</a></sup>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<sup class=""reference"" id=""cite_ref-250""><a href=""#cite_note-250"">[241]</a></sup>
</td>, <td class=""table-success"" style=""background: #9EFF9E; vertical-align: middle; text-align: center;"">Success<br/><small>(ground pad)</small>
</td>]",VAFB,Zuma,C,LEO,Northrop Grumman,Success,,Success,8 January 2018,01:00
